Time_NOAH_UTC,K_RH_WRF,K_T_WRF,D_T_WRF,D_RH_WRF,K_wind_speed,K_wind_dir,D_wind_speed,D_wind_direction
6/4/15 6:00,14.48325018,71.46305542,71.73287964,13.37707609,1.726102595,34.53183663,1.768532325,35.22821759
6/4/15 7:00,21.82622311,73.44070435,71.56478882,20.21328255,0.7070687808,155.720147,4.608943423,137.3924784
6/4/15 8:00,23.05284308,77.44412231,75.14364014,18.75910432,1.380775351,163.8513285,5.701723851,142.5323733
6/4/15 9:00,19.60754509,82.08897705,79.28806763,18.32963744,0.6467535575,241.3837111,4.004015302,122.4758719
6/4/15 10:00,28.1980805,83.34240723,81.3086731,22.54887153,1.078311755,129.3637142,1.937112193,115.6479027
6/4/15 11:00,30.19166252,84.95942993,83.87453003,22.50168588,2.199943624,127.2234215,1.138284431,186.7394855
6/4/15 12:00,30.76648734,86.37836914,84.38786621,27.8727402,1.998720587,261.8193855,0.8465890303,78.65910222
6/4/15 13:00,31.19280412,87.54830322,86.18023071,32.00355898,4.037949464,241.486084,3.389192313,280.3215462
6/4/15 14:00,37.50602656,87.21294556,85.82872314,31.69476398,6.97783254,228.0902207,2.277787378,221.3762405
6/4/15 15:00,37.67905373,86.87302856,86.22955933,34.66667469,6.733720262,221.021351,5.775852221,282.1680036
6/4/15 16:00,40.07593072,86.25438843,85.01183472,37.72474087,6.991797079,224.4149027,5.667889994,251.5622373
6/4/15 17:00,43.97753274,84.64088135,83.69034424,40.09109585,7.311695846,213.2540236,4.05543703,240.7917511
6/4/15 18:00,46.92479747,82.35539551,81.68132935,45.37327625,7.236624154,217.9766441,4.900778652,250.2753427
6/4/15 19:00,51.93362111,78.95452271,77.83210449,49.28703113,5.955697482,200.8652474,4.423455359,250.9030368
6/4/15 20:00,55.33081035,76.06231689,75.97519531,50.48773294,3.226220071,214.6895618,3.411262358,250.7439612
6/4/15 21:00,52.51628132,75.24603271,72.0078125,63.00980767,2.613973942,226.6482856,2.060030838,4.244277873
6/4/15 22:00,53.0902049,74.41601563,72.53251953,57.96951702,1.600546621,207.7546373,1.00457726,184.1459877
6/4/15 23:00,49.44982858,74.45194092,73.4444397,54.7490547,2.005788541,170.1635478,1.136393078,145.1525832
6/5/15 0:00,55.18600622,73.02756348,73.74134521,48.82067538,1.646214071,88.14440304,1.257824701,113.8802988
6/5/15 1:00,55.82568554,72.1949646,71.99721069,52.12811803,1.212476348,97.8209824,2.321027962,115.8569591
